KEYID,Height,NFloor,MainUse,TFA,FA_R,FA_O,FA_C,FA_H,FA_L,Str,TRA,RA_G,RA_PV,RA_O,Shape_Leng,Age,Shape_Length,Shape_Area,uq_visitors,t_visits,stride_avg,tile_sqm,GFArea,KFArea,footsteps,EnergyDaily_J,EnergyDaily_kWh,EnergyYearly_kWh,Coverage_pct,KFloor_10p,KFloor_25p,KFloor_50p,KFloor_75p,KFloor_90p,Energy_10p_kWh,Energy_25p_kWh,Energy_50p_kWh,Energy_75p_kWh,Energy_90p_kWh
154,17.5,5,Office,247.6045109,0,100,0,0,0,RC,49.52090218,0,0,100,32.32941953,1983,32.32452929,49.50618617,3,3,1.2,0.25,49.52090218,49.52090218,124,619.0112772,0.000171948,0.062760866,100,4.952090218,12.38022554,24.76045109,37.14067663,44.56881196,1.71948E-05,4.29869E-05,8.59738E-05,0.000128961,0.000154753
155,24.5,7,Resid,1035.918145,0,13,87,0,0,RC,147.9883065,0,0,100,55.35258688,2013,55.34390622,147.9421635,10,10,1.2,0.25,147.9883065,147.9883065,1234,6166.179436,0.001712828,0.625182082,100,14.79883065,36.99707662,73.99415324,110.9912299,133.1894758,0.000171283,0.000428207,0.000856414,0.001284621,0.001541545
156,17.5,5,Com,503.917368,0,100,0,0,0,RC,100.7834736,0,0,100,41.03465646,1989,41.02856494,100.7534477,15,17,1.2,0.25,100.7834736,100.7834736,1428,7138.829379,0.001983008,0.723797979,100,10.07834736,25.1958684,50.3917368,75.58760519,90.70512623,0.000198301,0.000495752,0.000991504,0.001487256,0.001784707
157,14,4,Office,382.8088167,33,66,1,0,0,RC,95.70220418,0,0,100,39.30557867,1989,39.29967219,95.673501,5,5,1.2,0.25,95.70220418,95.70220418,398,1993.795921,0.000553832,0.202148753,100,9.570220418,23.92555105,47.85110209,71.77665314,86.13198377,5.53832E-05,0.000138458,0.000276916,0.000415374,0.000498449
158,17.5,5,Office,261.5250114,20,80,0,0,0,RC,52.30500229,0,0,100,35.30262594,1990,35.29749995,52.28965246,18,18,1.2,0.25,52.30500229,52.30500229,784,3922.875171,0.001089688,0.397735955,100,5.230500229,13.07625057,26.15250114,39.22875171,47.07450206,0.000108969,0.000272422,0.000544844,0.000817266,0.000980719
159,21,6,Office,635.6016278,0,83,17,0,0,RC,105.9336046,0,0,100,41.26887736,1986,41.26262518,105.9015308,2,2,1.2,0.25,105.9336046,105.9336046,176,882.7800387,0.000245217,0.089504087,100,10.59336046,26.48340116,52.96680232,79.45020348,95.34024418,2.45217E-05,6.13042E-05,0.000122608,0.000183913,0.000220695
160,17.5,5,Office,251.939761,0,75,25,0,0,RC,50.3879522,0,0,100,31.02252801,1977,31.01778037,50.37285411,10,10,1.2,0.25,50.3879522,50.3879522,420,2099.498008,0.000583194,0.21286577,100,5.03879522,12.59698805,25.1939761,37.79096415,45.34915698,5.83194E-05,0.000145798,0.000291597,0.000437395,0.000524875
161,21,6,Office,2924.581313,0,100,0,0,0,S,487.4302188,0,0,100,122.938537,1990,122.9198485,487.2825557,31,36,1.2,0.25,487.4302188,487.4302188,14622,73114.53282,0.020309592,7.413001245,100,48.74302188,121.8575547,243.7151094,365.5726641,438.6871969,0.002030959,0.005077398,0.010154796,0.015232194,0.018278633
162,24.5,7,Office,1835.27233,0,100,0,0,0,RC,262.1817615,0,0,100,65.15172919,1987,65.14185944,262.1021947,59,64,1.2,0.25,262.1817615,262.1817615,13984,69915.13639,0.019420871,7.088617996,100,26.21817615,65.54544037,131.0908807,196.6363211,235.9635853,0.001942087,0.004855218,0.009710436,0.014565653,0.017478784
163,14,4,Office,280.7486123,57,42,1,0,0,RC,70.18715307,0,0,100,34.03290604,1984,34.02777606,70.16631265,26,28,1.2,0.25,70.18715307,70.18715307,1638,8188.501192,0.002274584,0.830223037,100,7.018715307,17.54678827,35.09357654,52.6403648,63.16843776,0.000227458,0.000568646,0.001137292,0.001705938,0.002047125
